Kinetic,Collision,Radiative,Total, D_Effect
1.090E+01, 2.032E+00, 1.603E-01, 2.192E+00, 3.311E+00
1.100E+01, 2.033E+00, 1.621E-01, 2.195E+00, 3.326E+00
1.110E+01, 2.034E+00, 1.639E-01, 2.198E+00, 3.340E+00
1.120E+01, 2.035E+00, 1.656E-01, 2.201E+00, 3.355E+00
1.130E+01, 2.036E+00, 1.674E-01, 2.203E+00, 3.369E+00
1.140E+01, 2.037E+00, 1.691E-01, 2.206E+00, 3.383E+00
1.150E+01, 2.038E+00, 1.709E-01, 2.209E+00, 3.397E+00
1.160E+01, 2.039E+00, 1.727E-01, 2.212E+00, 3.411E+00
1.170E+01, 2.040E+00, 1.744E-01, 2.214E+00, 3.425E+00
1.180E+01, 2.041E+00, 1.762E-01, 2.217E+00, 3.438E+00
1.190E+01, 2.042E+00, 1.780E-01, 2.220E+00, 3.452E+00
1.200E+01, 2.043E+00, 1.798E-01, 2.222E+00, 3.466E+00
1.210E+01, 2.044E+00, 1.815E-01, 2.225E+00, 3.479E+00
1.220E+01, 2.044E+00, 1.833E-01, 2.228E+00, 3.492E+00
1.230E+01, 2.045E+00, 1.851E-01, 2.231E+00, 3.506E+00
1.240E+01, 2.046E+00, 1.869E-01, 2.233E+00, 3.519E+00
1.250E+01, 2.047E+00, 1.887E-01, 2.236E+00, 3.532E+00
1.260E+01, 2.048E+00, 1.905E-01, 2.239E+00, 3.545E+00
1.270E+01, 2.049E+00, 1.923E-01, 2.241E+00, 3.558E+00
1.280E+01, 2.050E+00, 1.941E-01, 2.244E+00, 3.571E+00
1.290E+01, 2.051E+00, 1.959E-01, 2.247E+00, 3.583E+00
1.300E+01, 2.052E+00, 1.977E-01, 2.249E+00, 3.596E+00
1.310E+01, 2.052E+00, 1.995E-01, 2.252E+00, 3.609E+00
1.320E+01, 2.053E+00, 2.013E-01, 2.254E+00, 3.621E+00
1.330E+01, 2.054E+00, 2.031E-01, 2.257E+00, 3.634E+00
1.340E+01, 2.055E+00, 2.049E-01, 2.260E+00, 3.646E+00
1.350E+01, 2.056E+00, 2.067E-01, 2.262E+00, 3.658E+00
1.360E+01, 2.056E+00, 2.085E-01, 2.265E+00, 3.671E+00
1.370E+01, 2.057E+00, 2.103E-01, 2.268E+00, 3.683E+00
1.380E+01, 2.058E+00, 2.121E-01, 2.270E+00, 3.695E+00
1.390E+01, 2.059E+00, 2.139E-01, 2.273E+00, 3.707E+00
1.400E+01, 2.060E+00, 2.157E-01, 2.275E+00, 3.719E+00
1.410E+01, 2.060E+00, 2.176E-01, 2.278E+00, 3.731E+00
1.420E+01, 2.061E+00, 2.194E-01, 2.281E+00, 3.743E+00
1.430E+01, 2.062E+00, 2.212E-01, 2.283E+00, 3.754E+00
1.440E+01, 2.063E+00, 2.230E-01, 2.286E+00, 3.766E+00
1.450E+01, 2.063E+00, 2.249E-01, 2.288E+00, 3.778E+00
1.460E+01, 2.064E+00, 2.267E-01, 2.291E+00, 3.789E+00
1.470E+01, 2.065E+00, 2.285E-01, 2.293E+00, 3.801E+00
1.480E+01, 2.066E+00, 2.303E-01, 2.296E+00, 3.812E+00
1.490E+01, 2.066E+00, 2.322E-01, 2.299E+00, 3.823E+00
1.500E+01, 2.067E+00, 2.340E-01, 2.301E+00, 3.835E+00
1.510E+01, 2.068E+00, 2.358E-01, 2.304E+00, 3.846E+00
1.520E+01, 2.069E+00, 2.377E-01, 2.306E+00, 3.857E+00
1.530E+01, 2.069E+00, 2.395E-01, 2.309E+00, 3.868E+00
1.540E+01, 2.070E+00, 2.414E-01, 2.311E+00, 3.879E+00
1.550E+01, 2.071E+00, 2.432E-01, 2.314E+00, 3.890E+00
1.560E+01, 2.071E+00, 2.450E-01, 2.316E+00, 3.901E+00
1.570E+01, 2.072E+00, 2.469E-01, 2.319E+00, 3.912E+00
1.580E+01, 2.073E+00, 2.487E-01, 2.321E+00, 3.923E+00
1.590E+01, 2.073E+00, 2.506E-01, 2.324E+00, 3.934E+00
1.600E+01, 2.074E+00, 2.524E-01, 2.326E+00, 3.945E+00
1.610E+01, 2.075E+00, 2.543E-01, 2.329E+00, 3.955E+00
1.620E+01, 2.075E+00, 2.561E-01, 2.331E+00, 3.966E+00
1.630E+01, 2.076E+00, 2.580E-01, 2.334E+00, 3.976E+00
1.640E+01, 2.077E+00, 2.598E-01, 2.336E+00, 3.987E+00
1.650E+01, 2.077E+00, 2.617E-01, 2.339E+00, 3.997E+00
1.660E+01, 2.078E+00, 2.636E-01, 2.341E+00, 4.008E+00
1.670E+01, 2.079E+00, 2.654E-01, 2.344E+00, 4.018E+00
1.680E+01, 2.079E+00, 2.673E-01, 2.346E+00, 4.028E+00
1.690E+01, 2.080E+00, 2.691E-01, 2.349E+00, 4.039E+00
1.700E+01, 2.080E+00, 2.710E-01, 2.351E+00, 4.049E+00
1.710E+01, 2.081E+00, 2.729E-01, 2.354E+00, 4.059E+00
1.720E+01, 2.082E+00, 2.747E-01, 2.356E+00, 4.069E+00
1.730E+01, 2.082E+00, 2.766E-01, 2.359E+00, 4.079E+00
1.740E+01, 2.083E+00, 2.785E-01, 2.361E+00, 4.089E+00
1.750E+01, 2.083E+00, 2.803E-01, 2.364E+00, 4.099E+00
1.760E+01, 2.084E+00, 2.822E-01, 2.366E+00, 4.109E+00
1.770E+01, 2.085E+00, 2.841E-01, 2.369E+00, 4.119E+00
1.780E+01, 2.085E+00, 2.859E-01, 2.371E+00, 4.129E+00
1.790E+01, 2.086E+00, 2.878E-01, 2.374E+00, 4.139E+00
1.800E+01, 2.086E+00, 2.897E-01, 2.376E+00, 4.148E+00
1.810E+01, 2.087E+00, 2.916E-01, 2.379E+00, 4.158E+00
1.820E+01, 2.088E+00, 2.934E-01, 2.381E+00, 4.168E+00
1.830E+01, 2.088E+00, 2.953E-01, 2.383E+00, 4.177E+00
1.840E+01, 2.089E+00, 2.972E-01, 2.386E+00, 4.187E+00
1.850E+01, 2.089E+00, 2.991E-01, 2.388E+00, 4.196E+00
1.860E+01, 2.090E+00, 3.010E-01, 2.391E+00, 4.206E+00
